name,category,address,borough,neighborhood,latitude,longitude,phone,website,hours,is_free,description
Mandala Café,immigrant_services,88 St. Nicholas Avenue,Manhattan,Harlem,40.801792,-73.952557,,http://www.lapen.com,,unknown,"<p>501(c)(3) Nonprofit with works to provide dignity, access and opportunity around food &amp; employment.</p>"
Muslim sisters of Staten Island,immigrant_services,80 Arnold Street,Staten Island,St. George,40.63848,-74.091138,,http://muslimsistersofsi.com,,unknown,"<p>Our mission is to provide activities, resources, and advocacy to promote community awareness, civic engagement and equity primarily for the underserved women and children of the community.</p>"
PS/IS 180 PTA,immigrant_services,370 W 120th Street,Manhattan,Harlem,40.807843,-73.955569,,http://www.dollsandmacs.org,,unknown,<p>Our mission is to assist the administration and faculty in building a stimulating environment for the benefit and educational growth of every child; to advocate for fair and quality education; to promote and develop a cooperative working relationship between the parents and staff while providing a place for the expression and advocacy of parents’ concerns.</p>
"Queens Botanical Garden, Inc.",immigrant_services,43-50 Main Street,Queens,Flushing,40.751508,-73.826092,,https://www.qcspeechsociety.com/,,unknown,"<p>Queens Botanical Garden (QBG) is an urban oasis where people, plants, and cultures are celebrated through inspiring gardens, innovative educational programs, and real-world applications of environmental stewardship.</p> <p>QBG is located on property owned by the City of New York, and its operation is made possible in part by public funds provided through the New York City Department of Cultural Affairs, Queens Borough President, the New York City Council, State elected officials, the New York State Department of Parks, Recreation and Historic Preservation, along with corporate, foundation, and individual supporters.</p> <p>Located at the northeast corner of Flushing Meadows-Corona Park in Flushing, QBG evolved from the five-acre “Gardens on Parade” exhibit showcased at the 1939-1940 New York World’s Fair. Officially opening as “The Queens Botanical Garden Society” in 1946 after local residents saved and expanded the original exhibit, the Garden remained at the original World’s Fair site until 1961, when it was moved to its current location on Main Street in Flushing. Among the original plantings taken from the 1939 site are two blue atlas cedars that frame the iconic tree gate sculpture at the Garden’s Main Street entrance today. QBG has become a 39-acre oasis in one of New York City’s most bustling and diverse neighborhoods.</p>"
QUEENSugarHoneyIceTea,immigrant_services,952 st marks ave,Brooklyn,Crown Heights,40.674672,-73.940379,,https://www.girlscoutsnyc.org/en/whatgirlsdo/gs-in-nyc-shelters/volunteer-in-nyc-shelters.html,,unknown,"<p>QUEENSUGARHONEYICETEA is a group of women who came together with ideas and solutions for changes in the community. Our mission is to strengthen families, grieving mothers, missing children, and be a covenant for kids with no parents or support system have a after-school programs for kids that need tutors and help with homework. We would also like to start a dance team and a basketball team. We need a place for the children in any weather. Our goal is to be an outlet that prevents violence in our community and we’re hoping to expand in other communities by saving the children. Our position and mission will speak volumes to our children and community lives. </p>"
Shine Foundation,immigrant_services,6 doyer street,Manhattan,Chinatown,40.714371,-73.997998,,http://www.astoriavalues.com,,unknown,"<p>88% of survivors return to their abusers, largely due to financial pressures.</p> <p>Our mission is to change that. We provide free financial education to survivors who have recently experienced or escaped from their abusive situations.</p> <p>In doing so, we strive to help survivors get back on their feet, financially, so that they may leave the abuse, for good.</p>"
STANDNow,immigrant_services,2429 83rd st,Queens,Jackson Heights,40.764044,-73.885955,,https://standnow.org/about/,,unknown,"<p>Born out of the fight to stop the genocide in Darfur, Sudan, STAND is devoted to creating a sustainable student network that actively fights genocide and mass atrocities wherever they may occur. By creating political will, we hold our elected officials accountable for preventing and ending genocide and mass atrocities, and by supporting young peacebuilders in conflict-affected and post-conflict countries, we help communities build resistance to conflict.</p> <p>Every successful social movement in history has included a vibrant student voice, and the anti-genocide movement is no exception. As such, STAND is the only student-led organization focused on genocide and atrocity prevention. By sounding the alarm on emerging and ongoing conflicts, mobilizing campuses and communities, building meaningful relationships with policymakers, developing young leaders, and creating innovative campaigns, we are leading members of the anti-genocide movement.</p>"
"StreetSquash, inc.",health,41 W 115th St.,Manhattan,Harlem,40.800685,-73.94865,,http://streetsquash.org,,unknown,"<p>StreetSquash’s mission is to provide consistent, long-term, and reliable support to the children, families, and schools in Harlem and Newark. By exposing these children to a broad range of experiences and by maintaining the highest standards, StreetSquash aims to help each child realize his or her academic, athletic, and personal potential.</p> <p>Our goals are:</p> <ul> <li>to improve academic performance</li> <li>to develop an ethic of hard work and commitment</li> <li>to boost self-confidence</li> <li>to build healthy habits and maintain a healthy lifestyle</li> <li>to ensure young people earn a college degree</li> <li>to support ongoing personal and professional development</li> </ul>"
SYOP,immigrant_services,612 PENNSYLVANIA AVENUE 2R,Brooklyn,East New York,40.662204,-73.893367,,http://www2.heart.org/site/TR?fr_id=3955&pg=entry,,unknown,"<p>Our mission is to decrease the drop out rate 2016-2019 statisitics in Public Education by forstering education initiatives to Brooklyn Cmmunities focusing on East New York, Crown Heights, and East Flatbush as targeted areas of infuence.</p>"
TaylorAde Kids Club,health,754 Essex Street,Brooklyn,East New York,40.665247,-73.878371,,http://www.dollsandmacs.org,,unknown,"<p>TaylorAde Kids Club mission is to empower youth age 5-18 to serve their communities, promote healthy lifestyles, encouraging youth entrepreneurship, strives to meet humanitarian and educational needs through Music &amp; Arts programming. TaylorAde Kids Club encourages peace, strong leadership and promotes international cultural understanding through TaylorAde Kids Club Initiatives. </p>"
The Better Education Foundation,health,421 E 21 STREET C4,Brooklyn,Flatbush,40.644032,-73.958791,,http://www.bettereducationfoundation.org/,,unknown,"<p>Our priority is to provide access to quality education and healthcare for women and children. We believe education and healthcare are not privileges, but a human right. We intend to work with families that doesn't have access to education or basic healthcare. We aim to target countries that doesn't provide basic education to women and children.</p>"
The Bridge NY,health,290 Lenox Ave,Manhattan,Harlem,40.807457,-73.945704,,https://www.thebridgeny.org/,,unknown,"<p>The Bridge currently houses over 1,300 individuals from vulnerable populations. Bridge residencies offer a range of on-site services, with single apartments made available to clients as they achieve greater independence. </p> <p>The Bridge offers vocational, rehabilitative, and medical services including mental health care, substance-abuse treatment, vocational training, creative arts therapies, and educational groups. Community-based services, provided by mobile teams, lower barriers to care and help individuals stay in their homes and out of institutions.</p>"
Throggs Neck Volunteer Ambulance Corps,health,3955 East Tremont Avenue,Bronx,Tremont,40.821122,-73.818449,,http://www.tnvac.us,,unknown,"<p>The Throggs Neck Volunteer Ambulance Corps provides emergency medical services for the residents of Throggs Neck, Country Club, and Pelham Bay in the Bronx. Our members are 18 and over and come from all over the Bronx and New York State. We also have a Youth Corps for high school students who are 14-18 years old. Our organization is run by unpaid volunteers who care about the community and want to make a difference. </p>"
Toys for Hospitalized Children,immigrant_services,824 Eastern Parkway,Brooklyn,Crown Heights,40.669328,-73.940979,,http://toysforhospitalizedchildren.org,,unknown,"<p>Our mission is a simple one: to bring happiness and healing to sick children, regardless of their race, ethnicity, or background. We gift toys accompanied by a warm smile &amp; musical entertainment to hospitalized children. We stock ambulances with toys to help hysterical children even before they reach the hospital. We also gift iPads to cancer patients to help them adjust while battling their terrible sickness.</p> <p>A toy to a sick child is much more than just a gift; it’s a gesture of love. It uplifts a precious child’s spirits and boosts morale. Many studies have proven how positivity can trigger self-healing superpowers that manifest physiologically in the body.</p> <p>HAPPY KIDS HEAL FASTER!</p>"
Uptown Stories,immigrant_services,178 Bennett Avenue,Manhattan,Washington Heights,40.855958,-73.934144,,http://www.womenseday.org,,unknown,"<p>At Uptown Stories, our mission is to inspire kids to discover and develop their inner voices in a diverse community of writers. Based in Washington Heights, we offer after-school, weekend, and summer creative writing workshops for children ages 8-15, led by rock-star teachers, who are also professional authors and artists. The students learn the art and craft of writing, how to revise their work, and how to give and receive constructive feedback. Through writing workshops, students also learn and practice key life skills, how to persist and complete a project, how to tolerate criticism, and in turn how to speak respectfully to peers. To ensure our program is accessible to our ethnically and economically diverse community, our tuition is “pay-what-you-can.” Uptown Stories creates an exciting, challenging, and supportive community in which young authors from all backgrounds thrive.</p>"
Homebase - Bronxworks,immigrant_services,"630 Jackson Avenue, 2nd fl",Bronx,Mott Haven,40.815426,-73.908281,347-704-0001,,,true,NYC Open Data: Homebase prevention services location.
Homebase - HELP I,immigrant_services,"1860 East Tremont Ave, 1st fl",Bronx,Tremont,40.8406501,-73.8650161,718-299-8473,,,true,NYC Open Data: Homebase prevention services location.
Homebase - CAMBA I,immigrant_services,"1117 Eastern Parkway, 3rd fl",Brooklyn,Crown Heights,40.668837,-73.931675,718-622-7323,,,true,NYC Open Data: Homebase prevention services location.
Homebase - RiseBoro Community Partnership,immigrant_services,"(90 Beaver Street, Brooklyn, NY 11206) 7/14/25 Temporarily relocated to 535 Bushwick Avenue Brooklyn, NY 11206 until further notice.",Brooklyn,Bushwick,40.699705,-73.936714,718-366-4300,,,true,NYC Open Data: Homebase prevention services location.
Homebase - RiseBoro Community Partnership,immigrant_services,"380 Grove Street, Level 1",Brooklyn,Bushwick,40.70045,-73.91349,347-295-3738,,,true,NYC Open Data: Homebase prevention services location.
Homebase - RiseBoro Community Partnership,immigrant_services,"1875 Broadway, 1st fl",Brooklyn,Bushwick,40.6808101,-73.9064265,929-297-0201,,,true,NYC Open Data: Homebase prevention services location.
Homebase - CCNS,immigrant_services,"3060 Fulton Street, 1st fl",Brooklyn,East New York,40.680824,-73.881858,929-234-3036,,,true,NYC Open Data: Homebase prevention services location.
Homebase - CCNS,immigrant_services,"560 Livonia Ave, 1st fl",Brooklyn,East New York,40.664372,-73.896521,718-408-7181,,,true,NYC Open Data: Homebase prevention services location.
Homebase - SUS,immigrant_services,"516 West 181st Street, 4th fl",Manhattan,Washington Heights,40.848392,-73.9321704,917-492-1019,,,true,NYC Open Data: Homebase prevention services location.
Homebase - SUS,immigrant_services,"2322 3rd Ave, 3rd fl",Manhattan,Harlem,40.7366655,-73.9849393,917-492-1019,,,true,NYC Open Data: Homebase prevention services location.
Homebase - CAMBA,immigrant_services,"209 Bay Street, 1st fl",Staten Island,Stapleton,40.636872,-74.076248,718-226-0496,,,true,NYC Open Data: Homebase prevention services location.
Homebase - CAMBA,immigrant_services,"120 Stuyvesant Place, 4th fl , Suite 413",Staten Island,St. George,40.642992,-74.076954,718-282-6473,,,true,NYC Open Data: Homebase prevention services location.
The Salvation Army Queens Temple Corps Community Center,food,"86-07 35th Ave, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7524769,-73.8805361,(718) 335-3693,http://salvationarmyny.org/,Monday: 9:00 AM – 3:00 PM; Tuesday: 9:00 AM – 3:00 PM; Wednesday: 9:00 AM – 3:00 PM; Thursday: 9:00 AM – 3:00 PM; Friday: 9:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,unknown,Google Places result for: food pantry Jackson Heights Queens NYC
Salvation Army - Queens Temple Community Center - Food Pantry,food,"86-07 35th Ave, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7524467,-73.88063559999999,(718) 335-3693,https://www.coalitionforthehomeless.org/resources/salvation-army-queens-temple-community-center/,Monday: 11:30 AM – 1:00 PM; Tuesday: 11:30 AM – 1:00 PM; Wednesday: 11:30 AM – 1:00 PM; Thursday: 11:30 AM – 1:00 PM; Friday: 11:30 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,unknown,Google Places result for: food pantry Jackson Heights Queens NYC
La Jornada Food Pantrie,food,"Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7532721,-73.889515,,,,unknown,Google Places result for: food pantry Jackson Heights Queens NYC
St. Mark's Episcopal Church,food,"33-50 82nd St, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7541133,-73.8853901,(718) 639-8893,https://www.saintmarks.net/,,unknown,Google Places result for: food pantry Jackson Heights Queens NYC
The Salvation Army Temple Corp (queens) - Food Distribution Center,food,"86-07 35th Ave, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.752496099999995,-73.8804085,(718) 335-3693,https://easternusa.salvationarmy.org/greater-new-york/,,unknown,Google Places result for: food pantry Jackson Heights Queens NYC
Saint Mark AME Church – The Voices of Hagar - Food Distribution Center,food,"95-18 Northern Blvd, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7567812,-73.8724448,(718) 205-0506,,Monday: Closed; Tuesday: 10:00 AM – 12:30 PM; Wednesday: Closed; Thursday: Closed; Friday: Closed; Saturday: Closed; Sunday: Closed,unknown,Google Places result for: food pantry Jackson Heights Queens NYC
Christ Is The Light Church - Food Distribution Center,food,"89-14 48th Ave, Flushing, NY 11373, USA",Queens,Flushing,40.74100730000001,-73.87490629999999,(718) 291-9281,,,unknown,Google Places result for: food pantry Jackson Heights Queens NYC
Colectivo Intercultural TRANSgrediendo,food,"37-63 83rd St # 1b, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7479973,-73.8828492,(347) 738-6989,https://www.ourvoicesarefree.org/,Monday: Closed; Tuesday: 12:00 – 7:00 PM; Wednesday: 12:00 – 7:00 PM; Thursday: 12:00 – 7:00 PM; Friday: 12:00 – 7:00 PM; Saturday: 12:00 – 7:00 PM; Sunday: Closed,unknown,Google Places result for: food pantry Jackson Heights Queens NYC
St Marks Ame Church,food,"95-18 Northern Blvd, Flushing, NY 11372, USA",Queens,Flushing,40.7567005,-73.87240729999999,(718) 899-3306,https://stmarkamenyc.org/,,unknown,Google Places result for: food pantry Jackson Heights Queens NYC
Roosevelt Community Health Center of Excellence,health,"37-50 72nd St, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7472224,-73.8939245,(332) 208-2548,,,unknown,Google Places result for: free clinic Jackson Heights Queens NYC
NYC Community Health Center,health,"73-21 37th Rd, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7473276,-73.89167599999999,(718) 885-5543,,Monday: 8:30 AM – 7:30 PM; Tuesday: 8:30 AM – 7:30 PM; Wednesday: 8:30 AM – 7:30 PM; Thursday: 8:30 AM – 7:30 AM; Friday: 8:30 AM – 7:30 PM; Saturday: 8:30 AM – 7:30 PM; Sunday: 8:30 AM – 7:30 PM,unknown,Google Places result for: free clinic Jackson Heights Queens NYC
Apicha Community Health Center - Jackson Heights-Queens,health,"82-11 37th Ave, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7500058,-73.8838809,(718) 567-5200,https://www.apicha.org/locations/jackson-heights-clinic/,Monday: 9:00 AM – 5:30 PM; Tuesday: 9:00 AM – 5:30 PM; Wednesday: 9:00 AM – 7:00 PM; Thursday: 9:00 AM – 7:00 PM; Friday: 9:00 AM – 5:30 PM; Saturday: 9:00 AM – 4:00 PM; Sunday: Closed,unknown,Google Places result for: free clinic Jackson Heights Queens NYC
"NYC Health + Hospitals/Gotham Health, Roosevelt",health,"37-50 72nd St, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.747284,-73.8943335,(844) 692-4692,https://www.nychealthandhospitals.org/locations/?distance=10&facility_type=168&view-type=list-view,Monday: 8:30 AM – 7:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 7:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: 8:30 AM – 4:30 PM; Sunday: Closed,unknown,Google Places result for: free clinic Jackson Heights Queens NYC
Jackson Heights Family Health Center,health,"73-15 Northern Blvd, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7549984,-73.893181,(718) 424-2788,https://www.nyp.org/queens/centers-in-the-community/jackson-heights-family-health-center,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 10:00 AM – 2:00 PM; Sunday: Closed,unknown,Google Places result for: free clinic Jackson Heights Queens NYC
Junction Boulevard Clinic,health,"34-33 Junction Blvd, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7543569,-73.872153,(718) 334-6150,https://www.nychealthandhospitals.org/elmhurst/community-medical-centers/,Monday: 8:30 AM – 3:30 PM; Tuesday: 8:30 AM – 3:30 PM; Wednesday: 8:30 AM – 3:30 PM; Thursday: 8:30 AM – 6:00 PM; Friday: 8:30 AM – 3:30 PM; Saturday: Closed; Sunday: Closed,unknown,Google Places result for: free clinic Jackson Heights Queens NYC
"NYC Health + Hospitals/Gotham Health, Jackson Heights",health,"34-33 Junction Blvd, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.754135100000006,-73.871994,(844) 692-4692,https://www.nychealthandhospitals.org/locations/?distance=10&facility_type=168&view-type=list-view,Monday: 8:30 AM – 4:30 PM; Tuesday: 8:30 AM – 4:30 PM; Wednesday: 8:30 AM – 4:30 PM; Thursday: 10:30 AM – 6:30 PM; Friday: 8:30 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,unknown,Google Places result for: free clinic Jackson Heights Queens NYC
CityMD Jackson Heights Urgent Care - Queens,health,"73-02 Roosevelt Ave, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7466047,-73.8921359,(718) 475-2351,https://www.citymd.com/urgent-care-locations/ny/jackson-heights?utm_source=google&utm_medium=GMB_listings&utm_campaign=citymd_locations_GMB_listings,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,unknown,Google Places result for: free clinic Jackson Heights Queens NYC
Nao Medical - Jackson Heights Urgent Care,health,"80-10 Northern Blvd, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7551578,-73.8868976,(917) 310-3371,https://naomedical.com/urgent-care/locations/jackson-heights.html,Monday: 8:30 AM – 8:00 PM; Tuesday: 8:30 AM – 8:00 PM; Wednesday: 8:30 AM – 8:00 PM; Thursday: 8:30 AM – 8:00 PM; Friday: 8:30 AM – 8:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,unknown,Google Places result for: free clinic Jackson Heights Queens NYC
ModernMD Urgent Care - Jackson Heights,health,"37-33 82nd St, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7487213,-73.8838633,(646) 604-8190,https://modernmduc.com/locations/jackson-heights/,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 8:30 AM – 6:30 PM; Sunday: 8:30 AM – 6:30 PM,unknown,Google Places result for: free clinic Jackson Heights Queens NYC
New York Psychotherapy and Counseling Center,health,"91-09 Roosevelt Ave 2nd Floor, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7487292,-73.8750881,(718) 908-8000,http://www.nypcc.org/,Monday: 9:00 AM – 8:00 PM; Tuesday: 9:00 AM – 8:00 PM; Wednesday: 9:00 AM – 8:00 PM; Thursday: 9:00 AM – 8:00 PM; Friday: 9:00 AM – 8:00 PM; Saturday: 8:00 AM – 6:00 PM; Sunday: 8:00 AM – 6:00 PM,unknown,Google Places result for: free clinic Jackson Heights Queens NYC
Corona Sexual Health Clinic,health,"34-33 Junction Blvd 1st floor, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.754230299999996,-73.8720505,(347) 396-7959,http://www1.nyc.gov/site/doh/services/sexual-health-clinics.page,Monday: 8:30 AM – 3:30 PM; Tuesday: 8:30 AM – 3:30 PM; Wednesday: 8:30 AM – 3:30 PM; Thursday: 8:30 AM – 7:15 PM; Friday: 8:30 AM – 3:30 PM; Saturday: Closed; Sunday: Closed,unknown,Google Places result for: free clinic Jackson Heights Queens NYC
Catholic Charities Behavioral Health Center - Corona Clinic,health,"91-14 37th Ave, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7505417,-73.8752353,(718) 779-1600,,Monday: 9:00 AM – 8:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 8:00 PM; Thursday: 9:00 AM – 8:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: Closed,unknown,Google Places result for: free clinic Jackson Heights Queens NYC
Nao Medical - Primary Care Jackson Heights,health,"80-10 Northern Blvd Suite B, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7551775,-73.8868993,(917) 310-3371,https://naomedical.com/primary-care/locations/jackson-heights.html,Monday: 8:30 AM – 8:00 PM; Tuesday: 8:30 AM – 8:00 PM; Wednesday: 8:30 AM – 8:00 PM; Thursday: 8:30 AM – 8:00 PM; Friday: 8:30 AM – 8:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,unknown,Google Places result for: free clinic Jackson Heights Queens NYC
ELMHURST COMMUNITY PARTNERSHIP,health,"82-11 37th Ave SUITE LL8, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7500014,-73.8839533,,,,unknown,Google Places result for: free clinic Jackson Heights Queens NYC
Elmhurst Health Centre,health,"Junction Blvd, Flushing, NY 11368, USA",Queens,Flushing,40.744578399999995,-73.8679413,,,,unknown,Google Places result for: free clinic Jackson Heights Queens NYC
Gehi & Associates,legal,"74-09 37th Ave, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.749221899999995,-73.8914168,(718) 263-5999,http://www.gehilaw.com/,Monday: 10:30 AM – 6:00 PM; Tuesday: 10:30 AM – 6:00 PM; Wednesday: 10:30 AM – 6:00 PM; Thursday: 10:30 AM – 6:00 PM; Friday: 10:30 AM – 6:00 PM; Saturday: 11:00 AM – 2:30 PM; Sunday: 11:00 AM – 2:30 PM,unknown,Google Places result for: immigrant services Jackson Heights Queens NYC
Jackson Heights Immigration,immigrant_services,"80-07 Roosevelt Ave, Flushing, NY 11372, USA",Queens,Flushing,40.752018199999995,-73.8774105,,,Monday: 9:00 AM – 4:00 PM; Tuesday: 9:00 AM – 4:00 PM; Wednesday: 9:00 AM – 4:00 PM; Thursday: 9:00 AM – 4:00 PM; Friday: 9:00 AM – 4:00 PM; Saturday: 9:00 AM – 4:00 PM; Sunday: Closed,unknown,Google Places result for: immigrant services Jackson Heights Queens NYC
New Immigrant Community Empowerment (NICE),immigrant_services,"71-21 Roosevelt Ave, Jackson Heights, NY 11372, USA",Queens,Jackson Heights,40.7466937,-73.8940207,(718) 205-1687,http://www.nynice.org/,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,unknown,Google Places result for: immigrant services Jackson Heights Queens NYC
